wallet,token_name,symbol,amount,decimals,mint
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,0.0,6,4emAX6LmexvcVuBWyVUXwMESwMiEE7gcNTCiz4ugpump
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,0.0,6,5ju2R51gVkQbM5V8RS9FjxVJ7oCrAr9u9sSBivXVpump
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,1.573014,6,Dik7HYHPdN9rgNyxUediKgYDCvu636dQyL8nRh2YzzDP
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,0.21030882,8,7e4kToJc7snsunhaHJNuGSJacGaCerhZ3yPnMLymYLxM
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,0.059096,6,DtR4D9FtVoTX2569gaL837ZgrB6wNjj6tkmnX9Rdk9B2
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,0.011906955,9,4udMYvA754LEipWVAxrWQ1x5GnDVkoRPMtrrKQtZFzaH
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,4381.399746259,9,2XEyKu6CwasEdutsvPWhzf6Ku5W4Y6D7ZV778W71dwkB
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,331.077927084,9,3c3SsHJnfqCs3WnbM2dBJeNFowcVJDWBfpJExumbmoon
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,0.0,8,FqJNzcVKTcx5vy6pbD4PhMYi59Xgve9ViSrsfU5XweH3
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,5061.937455837,9,3uw1CEqDwYGDrdyQ3za2oVMnDtjwEBwTTA3J49FNqvuh
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,2451.783215,6,7SLpq7SxnjQH9jSaysuw27qmNZLAgvUJoiZjYp8run3u
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,474337.328135,6,HJ519Lm7GgYh8RrMmfBZWiiDoAbbuCQSn7XU4zDTzFdm
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,16702.621169335,9,DXM8j3yarVqRWRzhLMnt8AXCZY1ZRWJbzLRWAnezCJMF
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,64458.311569033,9,7xzdnHRUB24Dm7w2ApqD7pDo5zdBQH2dUVdXik2Ai8tK
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,588186.6589,4,m9JpxkjwYr9bJ3BhYsHG9ywApuBwZB9JdQ39kninGFM
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,31447.719855343,9,xxQkxSQyhwwm2nVSeu2U8WGJbR3s3rVKq5EUycoDzaz
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,54939.711641114,9,9JpGgAh2r5A65koqsjweznErMURG2U2gC3YyBfyYGiWy
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,7409.805811508,9,BqCQ34ip3czuTmgfoChSmu9qiEsyiwuruqHDQqkdzRgw
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,880461.952227,6,EYXzHynaidUzZVGFEtwunbqG8yHj37EXQkYWJ7rUGS5S
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,62977.427842114,9,2W2PpvkcdU6FDH62m4n1s7xdp9gbPGwTtw2NLxUCY2en
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,13.633925,6,42VYGgCLLXMAZGyChgnry4mP3vqd78ScHGZ45vQdb5N3
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,22.811979514,9,E1kvzJNxShvvWTrudokpzuc789vRiDXfXG3duCuY6ooE
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,35038.341487,6,G3WhrY8Gx8BS6nr9sZjKBiRmJSN6sY1AYcYrWPwqp2ey
